signal_id,signal_id_uuid,node_id_uuid,unit_code,unit_symbol,path
5,,68e061b5-5c22-444c-a4b6-026de4174f19,current,A,D63/Versuch1/Analog_1
1,,1cca23e6-b454-4837-ab30-2e29e618bf35,vibration,m/s²,D63/Versuch1/Sensor_1
2,,76246fdd-11d5-4895-b9a2-b10e0be3695b,vibration,m/s²,D63/Versuch1/Sensor_2
3,,ece76edb-5172-4ccf-9771-32b0a286a064,vibration,m/s²,D63/Versuch1/Sensor_3
4,,a0a5b0a8-fa35-4328-a0ab-093bd5684edb,vibration,m/s²,D63/Versuch1/Sensor_4
15,,5b63ecac-18b4-4491-8c8c-4fc61712ff64,current,A,D63/Versuch2/Analog_1
11,,dd9822dc-1027-4d2c-8716-4abc8d1abbbf,vibration,m/s²,D63/Versuch2/Sensor_1
12,,52b7a6fb-f03f-45c6-860b-24262f557866,vibration,m/s²,D63/Versuch2/Sensor_2
13,,4208f976-2dad-4847-9dbb-bec433345290,vibration,m/s²,D63/Versuch2/Sensor_3
14,,43a61b16-e9b7-406b-b434-224241a72010,vibration,m/s²,D63/Versuch2/Sensor_4
10,,2c5fc543-7832-497f-829c-64e03394dd28,current,A,D63/Versuch3/Analog_1
6,,c940d498-47fe-493f-8db9-cb62d266e88b,vibration,m/s²,D63/Versuch3/Sensor_1
7,,a82b7c1c-ae75-4007-aa58-7f24f54e61c5,vibration,m/s²,D63/Versuch3/Sensor_2
8,,4290316a-4ae8-4d88-92b1-aab98aa5d6c1,vibration,m/s²,D63/Versuch3/Sensor_3
9,,fb34876a-35a6-49aa-80b8-e4ab837b02d8,vibration,m/s²,D63/Versuch3/Sensor_4
