signal_id,signal_id_uuid,node_id_uuid,unit_code,unit_symbol,path
,ee22db31-71a3-430d-b0c8-2a8bc119f1ff,c08e3fd2-8c24-4ee8-b356-7c2fdca53273,current,A,D63/Versuch1/Drive
,2a87bb14-59e3-40b3-911f-e54db4e3b791,c08e3fd2-8c24-4ee8-b356-7c2fdca53273,position,m,D63/Versuch1/Drive
,261106f8-d8c3-45e6-a4a5-444d5b557b6d,c08e3fd2-8c24-4ee8-b356-7c2fdca53273,velocity,m/s,D63/Versuch1/Drive
,e466dbe6-01e4-485a-8b06-8936177dad52,4658edc7-d877-4e0f-b494-10f5135c0cd7,counter,integer,D63/Versuch1/ESP32
,1ca508e6-4131-4284-b41c-2bb60320b000,45e1b4bf-67b1-4911-9043-ad492fe91edf,vibration,m/s²,D63/Versuch1/ESP32/X
,207dc914-7dbd-4033-9c83-a33a837dc8e9,0e588927-9c72-46c9-9d9a-b6b4f3c6a5f7,vibration,m/s²,D63/Versuch1/ESP32/Y
,492aae38-2827-450a-ba51-0bbced34dd45,d7bc26ce-6409-4e52-bc75-58756a17c11e,vibration,m/s²,D63/Versuch1/ESP32/Z
,f41cdea6-16ef-4cf9-8fe9-c43c12f3fab3,a01a1ffc-26dc-4a1c-8408-f6b798303d85,pressure,Pa,D63/Versuch1/Messrack
,ec9a04d5-53e0-46c6-a1a1-f85eb2c70996,a539c0af-7c70-4171-8ebd-14dc4bc95580,counter,integer,D63/Versuch1/Wago
,2f143567-c600-4d9e-b777-138856eeaee1,1dde4ba9-af46-4353-bed0-0d6eae2b2817,temperature,°C,D63/Versuch1/Wago/Motor
,114346db-c6f8-498b-8ad9-0aa393ec5dd9,2b9e5f5a-859d-4ced-83c1-15c6c9ba795b,temperature,°C,D63/Versuch1/Wago/fixed_bearing_actuator
,1f962b14-9ae8-4edd-b457-abcab9f9f4dd,24af4a2a-a881-4c1f-9183-c32bbc94f649,temperature,°C,D63/Versuch1/Wago/spindle_nut
,24709ba3-6369-4810-b79e-dad132ba9f3a,855db575-035f-40ec-908a-d684acd305cf,current,A,D63/Versuch2/Drive
,d9ddd615-cd1b-4fe0-bc27-57f26b45ed5a,855db575-035f-40ec-908a-d684acd305cf,position,m,D63/Versuch2/Drive
,1f4874ce-9335-4b8f-8626-2fcd9126bf1e,855db575-035f-40ec-908a-d684acd305cf,velocity,m/s,D63/Versuch2/Drive
,33398149-1747-44ec-95b6-c9f1c1167616,264d77c6-caa7-4549-848c-0701b9c85ea4,counter,integer,D63/Versuch2/ESP32
,74337824-06e9-4486-94ce-cf7095001072,4099d047-ad92-4553-96dc-bee3acb935b4,vibration,m/s²,D63/Versuch2/ESP32/X
,f7764c75-dd12-48b2-961f-1cf1daa97d9f,be5ec1a1-c0f7-47f2-ab7e-091aca0b987d,vibration,m/s²,D63/Versuch2/ESP32/Y
,7045ed5b-01a0-4b16-bb98-cec455578ac4,0c2b76ed-66b7-4781-b5ea-93326481eb2b,vibration,m/s²,D63/Versuch2/ESP32/Z
,78187b63-0daa-4b16-9338-d431c87db78c,79961507-308d-42e0-bdc5-01a61487f002,pressure,Pa,D63/Versuch2/Messrack
,1a17797b-fcf9-47a3-b05e-232448200970,20518193-e883-43be-a0c9-ad06798f1b83,counter,integer,D63/Versuch2/Wago
,e0d69487-aba3-471f-a35a-b00e42b81d15,0cf564c3-a0ae-4968-8d64-1dbb48a3deea,temperature,°C,D63/Versuch2/Wago/Motor
,8b2b452f-7083-4969-a717-aeb391a77c34,2d702cff-2e0f-4e50-a90d-23de9584fd04,temperature,°C,D63/Versuch2/Wago/fixed_bearing_actuator
,aacfbb3b-66cd-4fc4-ba73-5c4f34722af9,1fc750a8-78d5-4303-af1c-a9825c13e921,temperature,°C,D63/Versuch2/Wago/spindle_nut
,6b280e7d-0913-4c12-8cb4-24cc9fa7334e,4b5c1a79-3fe0-4243-bcd6-3c5041949bbc,current,A,D63/Versuch3/Drive
,e1d324b6-3c80-49f7-88a4-d9afad3d5354,4b5c1a79-3fe0-4243-bcd6-3c5041949bbc,position,m,D63/Versuch3/Drive
,ff4fc510-afbe-4e50-a598-d98ef3e6199d,4b5c1a79-3fe0-4243-bcd6-3c5041949bbc,velocity,m/s,D63/Versuch3/Drive
,f27aa4c3-b408-4370-87ec-c43c8aaa4a23,91841c55-b351-477e-ba80-083387028114,counter,integer,D63/Versuch3/ESP32
,29a591b9-1cf8-4862-8bc6-debe1a7c71af,36f1533e-4dd1-45af-9ece-68b412c6a239,vibration,m/s²,D63/Versuch3/ESP32/X
