signal_name,source,signal_id,signal_id_uuid,unit_code,unit_symbol,path,is_reference_signal
current,uuid,,ee22db31-71a3-430d-b0c8-2a8bc119f1ff,current,A,D63/Versuch1/Drive,False
position,uuid,,2a87bb14-59e3-40b3-911f-e54db4e3b791,position,m,D63/Versuch1/Drive,True
velocity,uuid,,261106f8-d8c3-45e6-a4a5-444d5b557b6d,velocity,m/s,D63/Versuch1/Drive,False
counter,uuid,,e466dbe6-01e4-485a-8b06-8936177dad52,counter,integer,D63/Versuch1/ESP32,False
vibration_x,uuid,,1ca508e6-4131-4284-b41c-2bb60320b000,vibration,m/s²,D63/Versuch1/ESP32/X,False
vibration_y,uuid,,207dc914-7dbd-4033-9c83-a33a837dc8e9,vibration,m/s²,D63/Versuch1/ESP32/Y,False
vibration_z,uuid,,492aae38-2827-450a-ba51-0bbced34dd45,vibration,m/s²,D63/Versuch1/ESP32/Z,False
pressure,uuid,,f41cdea6-16ef-4cf9-8fe9-c43c12f3fab3,pressure,Pa,D63/Versuch1/Messrack,False
counter_wago,uuid,,ec9a04d5-53e0-46c6-a1a1-f85eb2c70996,counter,integer,D63/Versuch1/Wago,False
temperature,uuid,,2f143567-c600-4d9e-b777-138856eeaee1,temperature,°C,D63/Versuch1/Wago/Motor,False
temperature_fixed_bearing_actuator,uuid,,114346db-c6f8-498b-8ad9-0aa393ec5dd9,temperature,°C,D63/Versuch1/Wago/fixed_bearing_actuator,False
temperature_spindle_nut,uuid,,1f962b14-9ae8-4edd-b457-abcab9f9f4dd,temperature,°C,D63/Versuch1/Wago/spindle_nut,False
analog_1,int,5,,current,A,D63/Versuch1/Analog_1,False
sensor_1,int,1,,vibration,m/s²,D63/Versuch1/Sensor_1,False
sensor_2,int,2,,vibration,m/s²,D63/Versuch1/Sensor_2,False
sensor_3,int,3,,vibration,m/s²,D63/Versuch1/Sensor_3,False
sensor_4,int,4,,vibration,m/s²,D63/Versuch1/Sensor_4,False
