metric,value
signal_id_uuid,2a87bb14-59e3-40b3-911f-e54db4e3b791
number_of_samples,358732595
minimum_gap_seconds,0.001
median_gap_seconds,0.05
mean_gap_seconds,0.05188475809923199
percentile_95_gap_seconds,0.053
percentile_99_gap_seconds,0.054
maximum_gap_seconds,531462.168
gaps_gt_1_second,1862
gaps_gt_5_seconds,1789
gaps_gt_10_seconds,608
gaps_gt_30_seconds,62
gaps_gt_1_minute,14
gaps_gt_5_minutes,7
gaps_gt_10_minutes,6
gaps_gt_30_minutes,5
gaps_gt_1_hour,5
gaps_gt_6_hours,2
gaps_gt_24_hours,1
